Company,Symbol,JSE code,Sector,Sector inclusion,No code,Drama,Manual,Included
Arcelormittal South Africa Limited,ACL,JSE:ACL,Industrial Metals & Mining,No,No,,,
Argent Industrial Limited,ART,JSE:ART,Support Services,Yes,Yes,,,
Arrowhead Properties Limited,AWA,JSE:AWA,Real Estate Investment Trusts,Yes,Yes,,,
Ascendis Health Limited,ASC,JSE:ASC,Pharmaceuticals & Biotechnology,Yes,Yes,,,
Ascension Properties Limited,AIA,JSE:AIA,Real Estate Investment Trusts,Yes,Yes,,,
Aspen Pharmacare Holdings Limited,APN,JSE:APN,Pharmaceuticals & Biotechnology,Yes,Yes,,,
Assore Limited,ASR,JSE:ASR,Industrial Metals & Mining,No,No,,,
Astoria Investments Limited,ARA,JSE:ARA,Financial Services,Yes,Yes,,,
Astral Foods Limited,ARL,JSE:ARL,Food Producers,Yes,Yes,,,
Astrapak Limited,APK,JSE:APK,General Industrials,Yes,Yes,,,
Atlantic Leaf Properties Limited,ALP,JSE:ALP,Real Estate Investment Trusts,Yes,Yes,,,
Atlatsa Resources Corporation,ATL,JSE:ATL,Mining,No,No,,,
Attacq Limited,ATT,JSE:ATT,Real Estate Investment & Services,Yes,Yes,,,
Aveng Limited,AEG,JSE:AEG,Construction & Materials,Yes,Yes,,,
AVI Limited,AVI,JSE:AVI,Food Producers,Yes,Yes,,,
Avior Capital Markets Holdings Limited,AVR,JSE:AVR,Software & Computer Services,Yes,Yes,,,
Awethu Breweries Limited,AWT,JSE:AWT,Food Producers,Yes,Yes,,,
Balwin Properties Pty Limited,BWN,JSE:BWN,Real Estate Investment & Services,Yes,Yes,,,
Barclays Africa Group Limited,BGA,JSE:BGA,Banks,Yes,Yes,,,
Barloworld Limited,BAW,JSE:BAW,Support Services,Yes,Yes,,,
