Date,Price,Open,High,Low,Vol,percent
"Jun 04, 2014",49960.21,49848.57,50054.53,49808.53,135.90M,0.05%
"Jun 03, 2014",49936.54,49819,49936.54,49685.54,183.57M,0.24%
"Jun 02, 2014",49817.89,49739.63,49854.65,49630.62,130.03M,0.37%
"May 30, 2014",49632.7,49684.16,49803.52,49599.85,336.77M,-0.19%
"May 29, 2014",49726.64,49723.69,49778.08,49519.68,133.71M,0.07%
"May 28, 2014",49690.58,49976.79,49976.79,49567.45,157.33M,-0.27%
"May 27, 2014",49824.45,50055.62,50055.62,49824.45,150.26M,-0.39%
"May 26, 2014",50021.72,49996.67,50021.72,49819.25,102.06M,0.14%
"May 23, 2014",49952.69,49914.91,50065.89,49834.22,164.62M,0.12%
"May 22, 2014",49891.36,49817.79,50037.05,49816.97,197.36M,0.49%
"May 21, 2014",49648.12,49518.94,49648.12,49427.19,138.92M,0.06%
"May 20, 2014",49617,49700.91,49787.41,49538.31,184.33M,0.22%
"May 19, 2014",49507.48,49250.79,49615.33,49120.86,142.20M,0.71%
"May 16, 2014",49159.77,49439.7,49562.79,49072.13,149.73M,-0.60%
"May 15, 2014",49454.59,49578.28,49885.84,49380.13,154.48M,-0.36%
"May 14, 2014",49632.23,49331.76,49668.46,49229.04,225.46M,0.88%
"May 13, 2014",49199.7,49368.51,49407.95,49071.9,162.66M,-0.08%
"May 12, 2014",49239.29,49136.73,49327.96,49038.89,174.19M,0.79%
"May 09, 2014",48852.45,48973.53,48993.24,48755.64,139.05M,-0.36%
"May 08, 2014",49026.95,48976.21,49169.39,48963.57,202.17M,0.17%
"May 06, 2014",48942.02,49061.03,49061.03,48736.28,177.15M,0.13%
"May 05, 2014",48880.81,48957.01,49170.24,48785.8,118.58M,-0.43%
"May 02, 2014",49091.16,48893.67,49187.19,48857.22,139.59M,0.45%
"Apr 30, 2014",48870.1,48769.54,48924.3,48743.26,198.02M,-0.13%
